X,Y,OBJECTID,COD_SIG,IDTIPO,INF_NOME,INF_MORADA,INF_TELEFONE,INF_FAX,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_MUNICIPAL,GlobalID
-9.15496136244975,38.7480799058147,11,0902010029001,2,Universidade de Lisboa - Faculdade de Farmácia,Avenida Professor Gama Pinto,+351 217 946 400,,expediente@ff.ul.pt,http://www.ff.ul.pt,"A Faculdade de Farmácia utiliza para as suas instalações um edifício que, inserido no plano geral da cidade universitária de Lisboa, da autoria do gabinete de arquitectos Pardal Monteiro, foi edificado ainda no séc. XIX, dentro do estilo eclético e revivalista então em moda.
",-,0,fd124dfa-f352-46f3-9c23-c0473c6983d6
-9.14646604062192,38.7082552374305,12,4900904005001,2,Instituto Superior de Ciências da Administração,"Rua de São Paulo, 89",+351 213 261 440,,informacoes@iscad.pt,http://www.iscad.pt,"Privado/Politécnico
",-,0,d9f1ca29-49f5-4ce5-8645-7507cef33099
-9.19792597957041,38.7132592431697,13,0102904005001,2,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,Rua Almerindo Lessa - Pólo Universitário da Ajuda,+351 213 69 430,,correio@iscsp.utl.pt,www.iscsp.ulisboa.pt,,-,0,3cbda548-8eba-42d9-95d9-82d639c2ed6f
-9.14056258566251,38.7088352404599,14,2000109028001,2,Faculdade de Belas-Artes da Universidade de Lisboa ,"Largo da Academia Nacional de Belas Artes, 2",+351 213 252 100,,comunicacao@belasartes.ulisboa.pt,https://www.belasartes.ulisboa.pt,,-,0,da24cf1e-83f0-42c2-a0f9-f8026b7d2be1
-9.16127015523164,38.7466761825771,15,0902012090001,2,Universidade de Lisboa - Faculdade de Medicina,Avenida Professor Egas Moniz ,+351 217 975 160,,fml@fm.ul.pt,http://www.fm.ul.pt,,-,0,05ad0b82-e2b0-4268-b250-02bb41f0264b
-9.15823432747504,38.7542411692494,16,0902004001001,2,Universidade de Lisboa - Faculdade de Letras,Alameda da Universidade,+351 217 920 000,,flul.informacoes@mail.fl.ul.pt,http://www.fl.ul.pt,,-,0,db6e720d-355b-40db-8ec3-458b4655b7b5
-9.19524809901351,38.7461475506632,17,0806704007001,2,Instituto Politécnico de Lisboa - Escola Superior de Educação de Lisboa,"Estrada de Benfica, 529",+351 217 115 500,,eselx@eselx.ipl.pt,http://www.eselx.ipl.pt,Público/Politécnico,-,0,f95178e8-11ad-4ba0-9455-3ec8185483a8
-9.19524809901351,38.7461475506632,18,0806704007001,2,Instituto Politécnico de Lisboa - Campus,"Estrada de Benfica, 529


",+351 217 101 200,,geral@sp.ipl.pt,https://www.ipl.pt/,Público/Politécnico,-,0,857dfa8a-8310-4879-877c-a385feb8ff0d
-9.11319008172556,38.7436144997577,19,2106801035001,2,Escola Superior de Actividades Imobiliárias,"Praça Eduardo Mondlane, 7C",+351 218 367 010,,esai@esai.pt,http://www.esai.pt,Privado/Universitário,-,0,07f13b0d-d555-4529-a587-90a31b94f2fc
-9.19543738662027,38.7142801720433,20,0102903001001,2,Universidade de Lisboa - Faculdade de Medicina Veterinária,Avenida da Universidade Técnica - Pólo Universitário da Ajuda,+351 213 652 800,,secretaria@fmv.ulisboal.pt,http://www.fmv.ulisboa.pt,"Construído entre 1995 e 1998,para a Universidade Técnica de Lisboa,este edifício,com projecto do arq. João Lúcio Lopes,recebeu uma Menção Honrosa do Prémio Valmor de 1999,uma vez que o júri decidiu não atribuir o prémio principal nesse ano.O edifício procura expressar uma imagem marcadamente urbana,enquadrando soluções arquitectónicas diferenciadas num conjunto que se pretendeu unitário.Surgindo como um remate construído ao Vale da Ajuda,implantado a meia encosta e enquadrado pelo muro existente e por uma via de circulação periférica ao Campus,traduz um programa heterogéneo,capaz de acolher vários departamentos autónomos,com acesso ao exterior através de múltiplas ligações.Segundo o autor foram definidos '(¿) percursos, atravessamentos, ruas, praças, transparências e opacidades (¿) tipologias diversas para programas de ocupação variados, suportados por volumetrias estabilizadas no seu relacionamento simples e directo.'.A FMV tem por missão favorecer a  qualidade e o desenvolvimento do País na área da Ciência Animal e em particular na área das Ciências Veterinárias,através da prossecução dos seguintes objectivos:dar formação de nível superior aos seus estudantes;contribuir para o progresso científico e o desenvolvimento tecnológico;prestar serviços qualificados à comunidade;disponibilizar acções de formação profissional;atribuir graus académicos e títulos honoríficos;cooperar com outras Instituições nacionais e internacionais em áreas científicas,técnicas e culturais;e consolidar a formação humana e cultural dos seus membros.
",-,0,8f9ee449-8fcc-49e9-9de6-d1cd64a6ceaf
-9.15820413509836,38.7527164804479,21,0902008001001,2,Universidade de Lisboa,Alameda da Universidade,+351 217 967 624,,reitoria@reitoria.ul.pt,http://www.ul.pt,,-,0,337c20b8-5a9b-49f0-84e8-6147e7cea8c2
-9.1782113574107,38.704093373858,22,0202507011001,2,Instituto Superior de Ciências Policiais e Segurança Interna,"Rua Primeiro de Maio, 3",+351 213 613 900,," iscpsi@iscpsi.pt | iscpsi@psp.pt
",http://www.iscpsi.pt/Inicio/Paginas/default.aspx,Público Militar e Policial/Universitário. O Instituto Superior de Ciências Policiais e Segurança Interna (ISCPSI) é uma instituição de ensino superior público universitário policial.,-,0,61245564-0701-479e-b24c-8d3341cf3cda
-9.13934996153859,38.7367364183613,23,4302510028001,2,Universidade de Lisboa - Instituto Superior Técnico - Campus da Alameda,"Avenida Rovisco Pais, 1",+351 218 417 000,,mail@tecnico.ulisboa.pt,http:// www.tecnico.ulisboa.pt,,-,0,49264d91-d512-44ce-906d-e4017deb3124
-9.13942788589791,38.7197732801317,24,2400701067001,2,Universidade Nova de Lisboa  - Faculdade de Ciências Médicas,"Campo dos Mártires da Pátria, 130",+351 218 803 000,,geral@fcm.unl.pt,http://www.fcm.unl.pt,,-,0,af833b6e-5674-4ab2-82a5-68edc207d538
-9.15514792187302,38.7493625770105,25,0902010054001,2,Instituto de Geografia e Ordenamento do Território (IGOT),"Rua Branca Edmée Marques, IGOT<br>Rua Prof.ª Teresa Ambrósio, IGOT;",351 21 044 30 00,, igot@ulisboa.pt,www.igot.ulisboa.pt,"
",http://www.dges.gov.pt/,0,a8fb9040-c3ab-48dd-b994-c45ce8222d19
-9.1166536674575,38.7561354974702,26,2105204011001,2,Instituto Politécnico de Lisboa - Instituto Superior de Engenharia de Lisboa,"Rua Conselheiro Emídio Navarro, 1",+351 218 317 000,,isel@isel.pt,http://www.isel.pt,Público/Politécnico,-,0,ea101a89-3b76-4234-8350-94c87c4ee91c
-9.12712879532317,38.7131910014719,27,3600801004001,2,Escola Superior de Educação de Almeida Garrett,"Largo do Sequeira, 7",+351 218 862 042,,informacoes@eseag.pt,http://www.eseag.pt,"Privado/Politécnico
",-,0,71a83e8f-6de0-4705-82d4-caea2c3269d6
-9.13837464356664,38.723413640315,28,2401302103001,2,Instituto Universitário Militar - Academia Militar,Paço da Rainha,+351 213 186 900,,am.concurso@mail.exercito.pt,http://am.exercito.pt,Público Militar e Policial/Universitário,-,0,7c433316-6027-4a7f-95d3-d2b1687f73c2
-9.16649883437715,38.7496858613974,29,3905602027001007,999,Universidade Católica Portuguesa - Faculdade de Teologia,Palma de Cima,+351 217 214 000,,direccao@ft.lisboa.ucp.pt,http://www.lisboa.ucp.pt,Privado/Universitário,-,0,24ee138d-9c42-4190-a126-ebc6d9becf85
-9.14590682139125,38.7244148645944,30,1401401118001001,999,Universidade Autónoma de Lisboa Luís de Camões,"Rua de Santa Marta, 56",+351 213 177 646,,callcenter@universidade-autonoma.pt,http://www.universidade-autonoma.pt,"Privado/Universitário
",-,0,97337913-706a-461c-9404-7fe6c6d24aaa
-9.19327738751961,38.7601561328439,31,1101106001001001,999,Universidade Europeia,"Quinta do Bom Nome - Estrada da Correia, 53",+351 210 309 900,,isla.lisboa@lx.isla.pt,http://www.isla.pt,"Privado/Universitário
",-,0,502e2ad5-1576-4892-9d98-10123ce2d8bf
-9.16087527829062,38.7326146480527,32,1003201142001001,999,Universidade Nova de Lisboa  - Faculdade de Economia,Campus de Campolide,+351 213 801 600,,infonova@fe.unl.pt,http://www.fe.unl.pt,,-,0,cab0af9d-d13a-4561-944b-04472197b7a1
-9.16087527829062,38.7326146480527,33,1003201142001001,999,Universidade Nova de Lisboa  - Instituto Superior de Estatística e Gestão de Informação,Campus de Campolide,+351 213 870 413,,info@isegi.unl.pt,http://www.isegi.unl.pt,,-,0,a9f852d3-64ce-47dc-b07a-aa9218e3b0df
-9.12626761459627,38.7120154728523,34,3600911001001001,999,"ISPA - Instituto Universitário de Ciências Psicológicas, Sociais e da Vida","Rua do Jardim do Tabaco, 34",+351 218 811 700,,info@ispa.pt,http://www.ispa.pt,"
",-,0,d8220f20-b993-4ec8-9c97-a915a821ec8e
-9.14670878607292,38.7372079674502,35,2303702003001001,999,Instituto Politécnico de Lisboa - Instituto Superior de Contabilidade e Administração de Lisboa,"Avenida Miguel Bombarda, 20 ",+351 217 984 500,,rep_academica@iscal.ipl.pt,http://www.iscal.ipl.pt,Público/Politécnico,-,0,8478b55a-b53f-4201-b454-e0bdda6e5cfd
-9.10018939254087,38.7467456050595,36,2107504038001002,999,Escola Superior de Saúde Ribeiro Sanches,"Rua Fernando Palha, 69",+351 218 621 060,,informacoes@erisa.pt,http://www.erisa.pt,"Privado/Politécnico
",-,0,fec431a6-6e43-49f0-b911-3c6740e12c3c
-9.16081272769906,38.7815437386335,37,0501102001002001,999,Instituto Superior de Gestão,"Rua Vitorino Nemésio, 5",+351 217 513 700,,informacoes@isg.pt,http://www.isg.pt,"Privado/Universitário
",-,0,87b77a18-3caa-4eda-bdf5-e7e1cc250ef8
-9.16651033640605,38.749685759112,38,3905602027001008,999,Universidade Católica Portuguesa - Faculdade de Direito ,Palma de Cima ,+351 217 214 000,,candidaturas@fd.lisboa.ucp.pt,http://www.fd.lisboa.ucp.pt,Privado/Universitário,-,0,c92e6a87-a767-4f81-b107-2c3e143074fe
-9.10897210069945,38.7568381980726,39,2109301177001008,999,Instituto Português de Administração de Marketing de Lisboa,"Avenida Marechal Gomes da Costa, 21",+351 218 360 030,,ipam@ipam.pt,http://www.ipam.pt,Privado/Politécnico,-,0,011217ac-53da-44ef-9609-e21c5aa876e3
-9.1664760908308,38.7497040780123,40,3905602027001009,999,Universidade Católica Portuguesa - Faculdade de Ciências Humanas,Palma de Cima,+351 217 265 692,,direccaofch@fch.lisboa.ucp.pt,http://www.fch.lisboa.ucp.pt,Privado/Universitário,-,0,2ee76d59-eefa-4455-b192-f5c510cf7836
-9.17588760441689,38.7127344707789,41,0202704001001014,999,Escola Superior de Saúde da Cruz Vermelha Portuguesa,"Avenida de Ceuta - Edifício Urbiceuta, 6º piso",+351 213 616 790,,secretaria@esscvp.com,http://www.cruzvermelha.pt,"Privado/Politécnico
",-,0,e9e29d3f-fc2c-4afe-9d66-d80843cfefe2
-9.15243473662713,38.7071982583142,42,4900413005001001,999,"Instituto de Arte, Design e Empresa - Universitário","Avenida Dom Carlos I, 4 ",+351 213 939 600,,iade@iade.pt,www.iade.pt,"Privado/Universitário
",-,0,81a11512-9263-4b8e-a1e0-2027262b7a5d
-9.15565262324741,38.7502903132694,43,0902010046001001,999,Universidade de Lisboa - Faculdade de Medicina Dentária,"Cidade Universitária
",+351 217 922 600,,correio@fmd.ul.pt,http://www.fmd.ul.pt,,-,0,514aa0c1-b915-450d-9a99-81fb93a94239
-9.19488613724281,38.7127934660186,44,0102907003001001,999,Universidade de Lisboa - Faculdade de Arquitectura,Rua Sá Nogueira - Pólo Universitário da Ajuda,+351 213 615 000,,d_academica@fa.ulisboa.pt,http://www.fa.ulisboal.pt,,-,0,196fa002-7e12-403f-b462-77f052cd9892
-9.16080135053599,38.781552846377,45,0501102001002003,999,Instituto Superior de Novas Profissões,"Campus Universitário da Ameixoeira, Rua Vitorino Nemésio, 5",+351 217 508 010,,inp@inp.pt,http://www.inp.pt,"Privado/Politécnico
",-,0,f4063b3b-4ae9-4fbf-b0ce-68d462417499
-9.15767153115292,38.7561648129061,46,0902002200001001,999,Universidade de Lisboa - Instituto de Educação,Alameda da Universidade,+351 217943 633,,geral@ie.ul.pt,http://www.ie.ul.pt ,,-,0,686bce88-3b91-40fd-94c0-00f07a527340
-9.15468155340841,38.7524413381494,47,0902010056001003,999,Universidade de Lisboa - Instituto de Educação,Alameda da Universidade,+351 217943 633,,geral@ie.ul.pt,http://www.ie.ul.pt ,,-,0,49cf1182-41bf-49b2-b853-4884ba5196e8
-9.09821485781715,38.7760356110963,48,3307706017001,2,Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de ,"Avenida D. João II, 4.69.01",+351 218 980 400,,direccao@estesl.pt,http://www.estesl.ipl.pt,Público/Politécnico,-,0,07d6ea8d-0ba3-410d-bdd7-3bbdf6b1ed1b
-9.16233255229399,38.7142739947244,49,1701701016001,2,Escola Superior de Educadores de Infância Maria Ulrich,"Rua do Jardim à Estrela, 16",+351 213 929 560,,esei.mu@mail.telepac.pt,http://www.eseimu.pt,"Privado/Politécnico
",-,0,fd312531-7dfb-453b-ad2c-b4c39e22e442
-9.19251199415144,38.7463970038608,50,0806704055001,2,Instituto Politécnico de Lisboa - Escola Superior de Comunicação Social de Lisboa,"Estrada de Benfica, 529",+351 217 119 000,,serviços_academicos@escs.ipl.pt,http://www.escs.ipl.pt,,https://www.dges.gov.pt,0,d8f2026b-ce47-4156-afd8-0dce2684a7a9
-9.14566347856055,38.7243178986538,51,1401401118001,2,Escola Superior de Enfermagem S. Francisco das Misericórdias,"Rua de Santa Marta, 56",+351 217 120 913,,esesfm@esesfm.pt,http//www.enfermagem.edu.pt,"Privado/Politécnico
Funciona nas instalações da Universidade Autónoma de Lisboa",-,0,8dcec78e-bd75-4a10-ab7f-dd2d257bb762
-9.16015943509522,38.7337969377653,52,1003201500001,2,Universidade Nova de Lisboa,Travessa de Estêvão Pinto - Campus de Campolide,+351 213 715 600,,reitoria@unl.pt,http://www.unl.pt,,-,0,4de2b9b7-f252-430b-8724-cdd35491ec48
-9.16602655948958,38.7486260572302,53,3905602004001,2,Universidade Católica Portuguesa - Instituto de Ciências da Saúde,"Palma de Cima, Edifício da Biblioteca João Paulo II - 5º piso",+351 217 214 147,,saude@ics.lisboa.ucp.pt,http://www.ics.lisboa.ucp.pt,Privado/Universitário,-,0,bb1cd23e-b33a-4e9c-814a-273b9b07df3a
-9.15533209447258,38.709838001531,54,1702601002009,2,Universidade de Lisboa - Instituto Superior de Economia e Gestão,"Rua do Quelhas, 6 ",+351 213 925 800,,seclic@iseg.utl.pt,http://www.iseg.ulisboa.pt,,-,0,9883db06-1e35-4cf0-9cd8-de57060a2646
-9.14811370895647,38.7133323640589,55,2801301001002,2,Instituto Politécnico de Lisboa - Escola Superior de Dança de Lisboa,"Rua da Academia das Ciências, 5-7",+351 213 244 770,,geral@esd.ipl.pt,http://www.esd.ipl.pt,Público/Politécnico,-,0,1c5e10cd-f038-45c9-885c-e57e3d0bcd4f
-9.16044008675627,38.7688153569962,56,1802401001001,2,Instituto Superior de Tecnologias Avançadas de Lisboa,"Alameda das Linhas de Torres, 179",+351 218 436 670,,secretaria@istec.pt,http//www.istec.pt,Privado/Politécnico,-,0,43a589a8-b15d-4d1b-b48e-98ec21c22b02
-9.14442215775488,38.7084671966566,57,4900902018001,2,Instituto Politécnico de Lisboa - Escola Superior de Música de Lisboa,"Rua do Ataíde, 7 A",+351 213 224 940,,esml@esm.ipl.pt,http://www.esm.ipl.pt,Público/Politécnico,-,0,f54c0f50-6b22-400d-911a-de1cf0472a8f
-9.15674886254145,38.751825360594,58,0902010032001,2,Universidade de Lisboa - Faculdade de Direito,Alameda da Universidade,+351 217 984 600,,webmaster@mail.fd.ul.pt,http://www.fd.ul.pt,,-,0,b165d7b6-bffb-4fa7-9f6c-72fcef91643d
-9.15444437930881,38.7486955051399,59,0902010207001,2,ISCTE - Instituto Universitário de Lisboa, Avenida das Forças Armadas,+351 217 903 000,,geral@iscte.pt,http://www.iscte.pt,,www.dges.mctes.pt,0,1cdd5e9b-292e-46b4-aa64-569c91e13ab6
-9.19210051364904,38.6979758246608,60,3201301022001,2,Universidade Lusíada,"Rua da Junqueira, 188-198",+351 213 611 500,,info@lis.ulusiada.pt,http://www.lis.ulusiada.pt,Privado/Universitário,-,0,b2be0fcc-d388-4268-ab7b-972e788d378e
-9.15079076306331,38.7405150916368,61,2303302112001,2,Universidade Nova de Lisboa  - Faculdade de Ciências Sociais e Humanas,"Avenida de Berna, 26C",+351 217 933 519,,,http://www.fcsh.unl.pt,,-,0,5e150450-bb94-4ba7-8407-96cf68181535
-9.18158997688981,38.6992975328836,62,0202505003001,2,Academia Nacional Superior de Orquestra,"Travessa da Galé, 36 - 3º Edifício Standard Eléctrica",+351 213 617 320,,metropolitana@metropolitana.pt,http://www.metropolitana.pt,Privado/Politécnico,http://www.dges.mctes.pt/DGES/pt/Estudantes/Rede/Ensino+Superior/Estabelecimentos/Rede+Privada/,0,058d07ec-9257-4ce6-85e2-774160e0ac0c
-9.15799093523703,38.7162494240395,63,3001305031001,2,Escola Superior de Educação de João de Deus,"Avenida Álvares Cabral, 69",+351 213 968 154,,ese@escolasjoaodeus.pt,http://www.ese-jdeus.edu.pt,"Privado/Politécnico
",-,0,88e90d44-1742-49f8-8d25-85374aaed442
-9.15096263323504,38.7598502623141,64,0901602180002,2,Universidade Católica Portuguesa - Escola Superior Politécnica de Saúde (Lisboa),"Avenida Marechal Craveiro Lopes, 10",+351 217 521 540,,saude@ics.lisboa.ucp.pt,http://www.ics.lisboa.ucp.pt.pt,Privado/Politécnico,-,0,ee5b47e8-b8a4-4682-94c2-dfcd32c88453
-9.18237432111722,38.7076611761002,65,0202631079001,2,Universidade de Lisboa - Instituto Superior de Agronomia,Tapada da Ajuda,+351 213 653 100,,cgisa@isa.utl.pt,http://www.isa.ulisboa.pt,"Inaugurado em 1917, com projecto do arq. Álvaro Bermudes, veio substituir as anteriores instalações da Cruz do Tabuado e da anexa Quinta da Bemposta. Possui uma excelente biblioteca onde se realizam várias manifestações culturais como exposições e concertos. Pela tapada há, espalhados, diversos edifícios que servem para albergar não só serviços ali montados, como também o pessoal que ali trabalha.
",-,0,f196b70b-1430-41f4-bb4f-eea40a8d1c96
