X,Y,OBJECTID,COD_SIG,IDTIPO,INF_NOME,INF_MORADA,INF_TELEFONE,INF_FAX,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_MUNICIPAL,GlobalID
-9.18883520855817,38.7023861726557,11,0202901048001001,999,Escola Secundária Fonseca Benevides,"Rua Jau, Alto de Santo Amaro",+351 213 617 440,,info@esfb.pt,http://www.esfb.pt,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Línguas e Humanidades

Áreas de CURSOS PROFISSIONAIS:  
Eletrónica e Automação, Tecnologia dos Processos Químicos, Ciências Informáticas

ESCOLA com ENSINO À DISTÂNCIA no SECUNDÁRIO (10º, 11º e 12º Ano) apenas nos Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Línguas e Humanidades",Ministério da Educação,0,d001ac97-1430-46f8-bf01-7d549cf8fde3
-9.15847366471788,38.7164183264087,12,3001301052001001,999,Escola Secundária Pedro Nunes,Avenida Álvares Cabral,+351 213 963 132,,secretarialunos@espn.edu.pt,http://www.espn.edu.pt/,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades, Artes Visuais",Ministério da Educação,0,3da5a4fc-d4f2-44dc-a020-c7d6bcea2437
-9.1433131282478,38.73016993011,13,4403701016001001,999,Escola Secundária Camões,Praça José Fontana ,+351 213 190 380,,secretaria@escamoes.pt,http://portal.escamoes.pt,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades, Artes Visuais

Áreas de CURSOS PROFISSIONAIS:  
Ciências Informáticas, Artes Visuais e Produção de Média",Ministério da Educação,0,f6b1db05-3c61-40da-9fa4-89231fa373cd
-9.14987161674606,38.7118977803481,14,2201205011001001,999,Escola Básica e Secundária Passos Manuel,"Travessa do Convento de Jesus
",+351 213 955 191,,espm@abc.edu.pt,http://passos.abc.edu.pt/,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias e Línguas e Humanidades

Áreas de CURSOS PROFISSIONAIS: 
Ciências Informáticas, Artes do Espetáculo e Turismo e Lazer",Ministério da Educação,0,eb025710-7ba6-4133-aeab-6eafef4c2632
-9.19559461604951,38.699952975367,15,3201301162001001,999,Escola Secundária Marquês de Pombal,Rua Alexandre de Sá Pinto,+351 213 616 630,,,www.esmp.pt,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias

Áreas de CURSOS PROFISSIONAIS:  
Audiovisuais e Produção de Média, Desporto, Construção e Reparação de Veículos a Motor
",Ministério da Educação,0,909257be-1a0d-4253-9d11-d77db546a907
-9.11301125320364,38.7518716629711,16,2106901004001001,999,Escola Secundária D. Dinis - Lisboa,Rua Manuel Teixeira Gomes ,+351 218 310 190,,gestao@esecddinis.pt,http://esecddinis.pt/,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades

Áreas de CURSOS PROFISSIONAIS:  
Audiovisuais e Produção de Média, Serviços de Apoio a Crianças e Jovens, Ciências Informáticas, Desporto.",Ministério da Educação,0,dbc7011a-7189-4b74-8a1f-dcf7e9205052
-9.10843130950853,38.7703116928653,17,3307203001001001,999,Escola Secundária António Damásio,Avenida Dr. Francisco Luís Gomes,+351 218 514 837,,direcao@aeolivais.pt,aeolivais.edu.pt,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades, Artes Visuais

Áreas de CURSOS PROFISSIONAIS:  
Ciências Informáticas, Comércio, Turismo e Lazer, Eletricidade e Energia, Eletrónica e Automação",Ministério da Educação,0,c1ff9ff3-c7be-4f51-9a46-b921c6bd370b
-9.16756628266635,38.7131536138509,18,3503001002001001,999,Escola Básica e Secundária Josefa de Óbidos,"Rua Coronel Ribeiro Viana, 11 ",+351 213 929 000,,ejo.ce@mail.telepac.pt,http://e-josefadeobidos.edu.pt/,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:
Ciências e Tecnologias, Línguas e Humanidades

",Ministério da Educação,1,96629d3f-7cb6-4cce-b62d-6dc3db33f4ba
-9.13562573411851,38.7577435064438,19,4202501006001001,999,Escola Secundária Padre António Vieira,Rua Marquês de Soveral ,+351 218 484 111,,espav@mail.telepac.pt,http://aealvalade.edu.pt ,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades

Áreas de CURSOS PROFISSIONAIS:  
Ciências Informáticas, Audiovisuais e Produção de Média, Saúde ",Ministério da Educação,0,f7df5069-8082-4579-9cd0-8d09cc1742c8
-9.1622694645099,38.7693639433044,20,1805802001001001,999,Escola Secundária Lumiar,Rua Mário Sampaio Ribeiro,+351 217 540 747,,aelindleycintra@gmail.com ,http://www.aelindleycintra.edu.pt,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Línguas e Humanidades

Áreas de CURSOS PROFISSIONAIS:  
Turismo e Lazer, Comércio, Ciências Informáticas",Ministério da Educação,0,932a28ea-669b-4c8e-afb0-f2f2759fbc7b
-9.11241063690973,38.7645920629,21,3310801002001001,999,Escola Secundária Eça de Queirós,Rua Cidade de Benguela ,+351 218 540 710,,agrupamento@queiroz.pt,www.queiroz.pt,"Cursos nas Áreas CIENTÍFICO-HUMANÍSTICAS:  
Ciências e Tecnologias, Ciências Socioeconómicas, Línguas e Humanidades

Áreas de CURSOS PROFISSIONAIS:  
Artes do Espetáculo, Gestão e Administração, Marketing e Publicidade, Audiovisuais e Produção de Média",Ministério da Educação,0,f213ba17-36e8-4d99-8750-41c9bb197e24
